version	n	seed	elapsed	fitness
v2	4096	5	14.897640	-1170.725586
v2	4096	6	14.897765	-1170.344238
v2	4096	7	14.899734	-1169.513306
v2	4096	8	14.891689	-1172.633789
v2	4096	9	14.896488	-1170.949707
v2	4096	10	14.892984	-1170.410034
v2	8192	1	29.022202	-2134.968018
v2	8192	2	29.020603	-2141.385498
v2	8192	3	29.021667	-2136.498535
v2	8192	4	29.025553	-2134.138184
v2	8192	5	29.020714	-2140.901367
v2	8192	6	29.023590	-2144.272705
v2	8192	7	29.021996	-2131.364014
v2	8192	8	29.023085	-2140.409668
v2	8192	9	29.026369	-2133.952393
v2	8192	10	29.023832	-2134.634033
v3	128	1	1.479942	-39.958126
v3	128	2	1.477785	-39.966877
v3	128	3	1.477539	-39.953281
v3	128	4	1.480793	-39.967133
v3	128	5	1.481131	-39.961292
v3	128	6	1.482021	-39.961376
v3	128	7	1.480638	-39.949898
v3	128	8	1.480747	-39.958290
v3	128	9	1.479578	-39.948128
v3	128	10	1.482341	-39.966022
v3	256	1	1.910075	-80.974907
v3	256	2	1.910448	-80.975662
v3	256	3	1.908173	-81.034492
v3	256	4	1.908984	-81.032143
v3	256	5	1.909214	-81.017960
v3	256	6	1.908834	-81.079109
v3	256	7	1.907570	-81.043877
v3	256	8	1.908257	-80.978012
v3	256	9	1.907071	-81.035172
v3	256	10	1.910212	-81.089828
v3	512	1	2.843980	-159.814789
v3	512	2	2.842627	-159.743530
v3	512	3	2.841379	-159.739212
v3	512	4	2.842023	-159.704346
v3	512	5	2.843703	-159.777817
v3	512	6	2.843058	-159.826248
v3	512	7	2.839960	-160.013870
v3	512	8	2.840541	-159.705276
v3	512	9	2.844478	-159.795975
v3	512	10	2.844901	-159.888107
v3	1024	1	4.562053	-317.017792
v3	1024	2	4.559861	-317.154175
v3	1024	3	4.561093	-317.731354
v3	1024	4	4.558984	-317.059143
v3	1024	5	4.563837	-317.403748
v3	1024	6	4.563569	-317.466675
v3	1024	7	4.561641	-317.366699
v3	1024	8	4.564631	-316.983887
v3	1024	9	4.565310	-317.461914
v3	1024	10	4.566122	-317.113556
v3	2048	1	8.010555	-616.933655
v3	2048	2	8.009320	-616.061584
v3	2048	3	8.009876	-617.644958
v3	2048	4	8.005038	-616.634460
v3	2048	5	8.007129	-616.260620
v3	2048	6	8.011124	-618.166260
v3	2048	7	8.009298	-616.203369
v3	2048	8	8.009820	-616.384094
v3	2048	9	8.011551	-617.731262
v3	2048	10	8.010307	-616.717468
v3	4096	1	14.972803	-1169.934692
v3	4096	2	14.976489	-1167.737427
v3	4096	3	14.974168	-1168.903687
v3	4096	4	14.972301	-1174.287231
v3	4096	5	14.975153	-1170.725586
v3	4096	6	14.973497	-1170.344238
v3	4096	7	14.972593	-1169.513306
v3	4096	8	14.972789	-1172.633789
v3	4096	9	14.972303	-1170.949707
v3	4096	10	14.973877	-1170.410034
v3	8192	1	29.061796	-2134.968018
v3	8192	2	29.063396	-2141.385498
v3	8192	3	29.062836	-2136.343750
v3	8192	4	29.063145	-2134.138184
v3	8192	5	29.062996	-2140.962891
v3	8192	6	29.064920	-2144.199219
v3	8192	7	29.063297	-2131.364014
v3	8192	8	29.059607	-2140.409668
v3	8192	9	29.062551	-2133.952393
v3	8192	10	29.062607	-2134.634033
bias: 0.700000 1.000000	128	1	1.399933	-39.966114
bias: 0.700000 1.000000	128	2	1.394963	-39.964405
bias: 0.700000 1.000000	128	3	1.402048	-39.962521
bias: 0.700000 1.000000	128	4	1.400647	-39.969978
bias: 0.700000 1.000000	128	5	1.397334	-39.943256
bias: 0.700000 1.000000	128	6	1.396154	-39.952358
bias: 0.700000 1.000000	128	7	1.394432	-39.974545
bias: 0.700000 1.000000	128	8	1.393207	-39.957439
bias: 0.700000 1.000000	128	9	1.395670	-39.969658
bias: 0.700000 1.000000	128	10	1.393715	-39.960514
bias: 0.700000 1.000000	256	1	1.791315	-80.999237
bias: 0.700000 1.000000	256	2	1.795786	-81.034546
bias: 0.700000 1.000000	256	3	1.795618	-80.997040
bias: 0.700000 1.000000	256	4	1.796625	-80.984917
bias: 0.700000 1.000000	256	5	1.797558	-81.000092
bias: 0.700000 1.000000	256	6	1.795414	-81.046303
bias: 0.700000 1.000000	256	7	1.795922	-81.003433
bias: 0.700000 1.000000	256	8	1.794675	-81.074852
bias: 0.700000 1.000000	256	9	1.799542	-81.039482
bias: 0.700000 1.000000	256	10	1.793140	-81.041412
bias: 0.700000 1.000000	512	1	2.677298	-159.705246
bias: 0.700000 1.000000	512	2	2.677450	-159.955368
bias: 0.700000 1.000000	512	3	2.675677	-159.797302
bias: 0.700000 1.000000	512	4	2.678271	-159.991440
bias: 0.700000 1.000000	512	5	2.679310	-159.802704
bias: 0.700000 1.000000	512	6	2.681214	-159.783798
bias: 0.700000 1.000000	512	7	2.679171	-159.836121
bias: 0.700000 1.000000	512	8	2.678414	-159.983322
bias: 0.700000 1.000000	512	9	2.677752	-159.887436
